ticketId,title,description,assignedTo,companyName,branchName,statusName,Location Remark,Possible Reason,Assignee Changed,Category,Reassigned
112819,"Other - Nelson, Morton and Medina - 26 Nov",Itself room environmental system store beautiful think during let particular her agreement surface consider.,lauren54@haynes.com,Allen Group,Petersbury,Open,,Missing data,No,Uncategorized,No
112820,RFQ - Mcguire-Davis - 29 Jan,Reality fill ok list most international second former reflect even edge building court.,jamesrodgers@hardy-bray.net,"Campbell, Garcia and Lee",West Harry,Open,Lake Amandaview,Images in email body,Yes,RFQ,Yes
112821,Uncategorized - Mccann PLC - 18 Nov,Point sell bill activity expect long future whole education.,shortrichard@gmail.com,"Soto, Brown and Hernandez",Christopherbury,Open,,Unclear content,No,Uncategorized,No
112822,"Other - James, Kerr and Evans - 18 Jan",Figure perform participant science way debate decision produce church community avoid able late.,antonio44@hotmail.com,Jones-Hall,Kristinshire,Open,South Danny,,No,Uncategorized,No
112823,Other - Holland LLC - 06 Sep,Arrive society organization station TV keep light fight.,vincent77@gmail.com,"Williams, Reynolds and Morris",Anthonybury,Open,,Unclear content,Yes,Uncategorized,Yes
112824,"Uncategorized - Williams, Avila and Ruiz - 03 May",Trouble consider one play man before girl four prove tax form really explain.,gibsonleonard@yahoo.com,Cordova Group,Lake Mollymouth,Open,,Missing data,Yes,Uncategorized,Yes
112825,RFQ - Dean-Jimenez - 30 Jan,Data near until just recognize building win.,lancesmith@davis-gay.com,Valentine-Holland,South Sarah,Closed,,Images in email body,No,RFQ,No
112826,PO - Davenport-Baird - 02 Aug,Necessary himself two meet these tell everybody so increase various meet star executive fear.,seanwashington@yahoo.com,"Hines, Bennett and Cantu",Lake John,Open,,Unclear content,Yes,Uncategorized,Yes
112827,RFQ - Flores Group - 28 Dec,History professional star wonder manager already maybe opportunity thank them key moment.,bowenrobert@hotmail.com,Jones LLC,Cindyfurt,Closed,,Images in email body,Yes,RFQ,Yes
112828,PO - Finley-Sims - 05 Sep,Their along attention piece TV young section its better plant their kitchen really tough.,laura45@jordan-sanchez.biz,"Maldonado, White and Thompson",Harveybury,Open,Durhamberg,,No,Uncategorized,No
112829,RFQ - Murray LLC - 10 Apr,Project together let explain national available war write federal while real.,james67@gmail.com,James LLC,Victoriaport,Open,,,No,RFQ,No
112830,PO - Knight Ltd - 19 Dec,Treat seat strategy total simply discover soon.,christinebyrd@saunders.com,"Lucas, Parker and Alexander",Jessicaland,Closed,,Images in email body,Yes,Uncategorized,Yes
112831,Other - Gonzalez PLC - 24 Nov,Maybe evening clearly trial want whose far that sound life away senior difficult put purpose.,christopher60@yahoo.com,"Martinez, Richardson and Curry",Brendastad,Closed,,Unclear content,No,Uncategorized,No
112832,"RFQ - Henson, Hoffman and Herman - 24 Jan",Play less red power bring animal also you.,youngamanda@chavez-santiago.net,Matthews-Barber,Penafort,Open,,Unreadable content,No,RFQ,No
112833,RFQ - Vaughn and Sons - 04 Mar,Wear talk between rate name within grow huge couple business summer lawyer production.,buchananjohn@buchanan.com,"Clark, Robinson and Kane",Kimtown,Open,,Unreadable content,Yes,RFQ,Yes
112834,RFQ - Fernandez and Sons - 25 Jun,Capital group small open administration enter camera.,reesethomas@yahoo.com,"Wheeler, Hayes and Walker",Lake Kristahaven,Open,Stephentown,Unreadable content,No,RFQ,No
112835,RFQ - Lutz Group - 04 Jan,Make travel available ball part assume every plan.,hvang@yahoo.com,Wagner-Jordan,Port Dianaside,Open,,,No,RFQ,No
112836,PO - Gutierrez Group - 18 Feb,Role fine fine effort well rather listen before be it season head candidate.,elizabeth65@pugh.com,Burke-Bell,East Diane,Open,,Images in email body,No,Uncategorized,No
112837,"Uncategorized - Richardson, Farmer and Andrews - 06 Dec",Suddenly window stand party poor ago upon stop environment Congress reflect finally fund.,mollyknight@jones-figueroa.com,Reese and Sons,Barnesmouth,Open,West Larry,Unreadable content,No,Uncategorized,No
112838,Other - Frank-Bradley - 13 Oct,Choose senior anyone bank kitchen interest parent.,jason81@yahoo.com,Rodriguez-Gregory,Roseport,Closed,,Unclear content,Yes,Uncategorized,Yes
112839,RFQ - Harris and Sons - 21 Mar,Share face build market issue can mouth discover next.,sandersjudy@yahoo.com,Stevens Inc,Barbarashire,Open,,,No,RFQ,No
112840,RFQ - Wilson-Smith - 07 Feb,Soon peace story turn because such during open model.,julie35@gmail.com,Dixon Inc,Port Michael,Open,,Images in email body,No,RFQ,No
112841,PO - Gonzalez-Morrison - 25 Sep,Concern significant management senior service large under north.,edward17@yahoo.com,"Turner, Hill and Brown",West Steventon,Closed,,Location in email body,No,Uncategorized,No
112842,"PO - Lin, Wyatt and Gilbert - 04 Jul",Leg never social time last special prepare focus little character artist billion tonight.,wagnergerald@gmail.com,"Kim, Gonzales and Mills",West Nathan,Open,,Missing data,Yes,Uncategorized,Yes
112843,"RFQ - Harper, Mccormick and Holland - 27 Jun",Behind question exist rich prevent trade their four old center glass whose.,brookehurley@yahoo.com,"Bennett, Conner and Li",Lake Ellenhaven,Open,Andrewport,Images in email body,Yes,RFQ,Yes
112844,Uncategorized - Bean LLC - 19 Feb,Court yourself choice fast small medical music school money product then peace others child.,jenniferwilliams@rhodes-young.info,"Mitchell, Goodman and Cole",West Tammy,Closed,,Images in email body,No,Uncategorized,No
112845,RFQ - Gregory-Hudson - 26 Dec,Show sing me industry class current painting their appear lose he various represent middle.,christopher24@whitehead-hernandez.biz,Potts and Sons,Wilkersontown,Open,,Unreadable content,No,RFQ,No
112846,Other - Young-Vang - 07 Jul,Agreement us stuff practice social case expert stop receive catch.,fgilbert@gmail.com,Lewis-Hernandez,Rodriguezport,Closed,,Unclear content,No,Uncategorized,No
112847,PO - Barnes PLC - 08 Feb,Book toward others administration middle drop century investment.,ashleylopez@hotmail.com,Mills LLC,New Amyhaven,Open,,Images in email body,Yes,Uncategorized,Yes
112848,"RFQ - Hughes, Brooks and Burgess - 20 Apr",General run pick sign same forward and national.,epollard@white.info,Carter Inc,North Leslie,Closed,Zacharyside,Unreadable content,No,RFQ,No
112849,PO - King-Mullins - 02 Jan,Ground sit tend forward buy happy threat sea thus hit wind.,zrichardson@hotmail.com,Owen-Acosta,South Carrieburgh,Open,Manuelland,Images in email body,Yes,Uncategorized,Yes
112850,RFQ - Guerrero-Parker - 04 Jan,Coach know language risk treatment past itself police social arm provide image message.,thomascathy@johnson-jones.com,Reyes-Bradley,Lake Shannon,Open,,Unreadable content,Yes,RFQ,Yes
112851,"RFQ - Taylor, Richardson and Edwards - 18 Dec",Whether ago control military trial brother simple region Democrat partner.,davidfarrell@yahoo.com,Roach Group,Port Evelynmouth,Open,,,No,RFQ,No
112852,"Other - Roberts, Evans and Moore - 15 Apr",Soldier meeting building cut catch so ago network hard.,jonesraymond@higgins.org,Martinez LLC,South Stevenhaven,Open,,Images in email body,No,RFQ,No
112853,"Uncategorized - Matthews, Saunders and Anderson - 21 Mar",Story million fight class various different way million.,kingcynthia@hotmail.com,Martinez-Turner,New Danielleshire,Open,,Unclear content,No,Uncategorized,No
112854,"RFQ - Winters, Morgan and Bradshaw - 20 Oct",Ball we side enough decision occur peace.,ismall@may-turner.com,"Sullivan, Chavez and Barker",South Robert,Open,,Missing data,Yes,RFQ,Yes
112855,RFQ - Hensley-Flores - 03 Jul,Candidate have no five letter environment easy best face his past eat tend.,sarah53@jimenez.info,Koch-Jimenez,South Williambury,Open,,Images in email body,No,RFQ,No
112856,RFQ - Campbell PLC - 10 Jul,Experience account blue care enough hand idea and anything no guy eye hit late.,andersoncolin@yahoo.com,Grant-Diaz,East Carrie,Open,,Location in email body,Yes,RFQ,Yes
112857,Uncategorized - Taylor LLC - 16 Sep,Mind chance throw cause use five hotel pattern successful order medical meeting majority none.,richardsonemily@yahoo.com,"Parker, Roach and Wiggins",New Thomasshire,Closed,Lake Brett,,No,Uncategorized,No
112858,RFQ - Jackson-Fuller - 04 Mar,Challenge quite all way body affect finish charge real improve simple turn.,aprilhoffman@mendoza.info,"Peterson, Gomez and Ingram",Chelseaborough,Open,,Unreadable content,Yes,RFQ,Yes
112859,PO - David LLC - 24 Jun,Relate real major look night various return explain of myself time.,stephanie24@gmail.com,Moses-Miller,Douglasfort,Closed,,Missing data,Yes,Uncategorized,Yes
112860,Other - Fitzpatrick-Horton - 05 May,Past only drug prove most point appear including.,maldonadoderrick@hotmail.com,Russell Group,Santosport,Open,,Missing data,No,Uncategorized,No
112861,Other - Pearson and Sons - 02 Jun,Tree company think compare try young however.,sharonhayden@yahoo.com,Smith PLC,West Justinside,Open,Smallberg,,No,Uncategorized,No
112862,"Other - Mcdonald, Lee and Rodriguez - 21 Jan",Possible responsibility add front far purpose cover particularly police if into foreign husband believe.,pmorris@green.info,Finley-Turner,West Desireebury,Open,Lake Davidport,Location in email body,Yes,Uncategorized,Yes
112863,Other - Sullivan PLC - 17 Nov,Real police wait happen determine whatever long lawyer writer health reduce.,kathleenbecker@hotmail.com,Fox PLC,Christianshire,Open,,Missing data,No,Uncategorized,No
112864,RFQ - Armstrong and Sons - 13 Mar,Take kind quite response major together knowledge argue car indeed nor next.,fosterlisa@hotmail.com,Lane Inc,Cooperland,Open,North Valeriefort,,Yes,RFQ,Yes
112865,RFQ - Mitchell and Sons - 30 Apr,She within position inside year him thank trade heart.,david86@anderson.com,Ford-Ball,Patelbury,Closed,,Unclear content,Yes,RFQ,Yes
112866,RFQ - Lopez-Golden - 03 Feb,Allow produce past view threat drive attack order.,sanchezbradley@yahoo.com,Fernandez Inc,New Victoria,Closed,,Unreadable content,No,RFQ,No
112867,"PO - Flores, Harper and Chambers - 28 Oct",Few century produce determine feel article we they treatment personal.,wwilliams@hotmail.com,"James, Warren and Horton",Hernandezfurt,Open,Port Amanda,Location in email body,No,Uncategorized,No
112868,PO - Atkinson LLC - 24 Feb,South trip none whose newspaper care drug data position.,christopher30@yahoo.com,Nunez-Morrison,East Lindashire,Open,,Images in email body,No,Uncategorized,No
112869,RFQ - Turner-Stout - 31 May,While bring yourself look drug page daughter trip need simply.,wferguson@yahoo.com,Ward-Andrade,Garciafort,Open,,Unclear content,Yes,RFQ,Yes
112870,Other - Gutierrez-Hart - 21 Jan,Administration network once result far cultural discover now early.,kathryn77@yahoo.com,Oconnor LLC,East Jennifer,Open,Whiteside,Unclear content,Yes,Uncategorized,Yes
112871,"Uncategorized - Bernard, Warren and Combs - 22 Jan",Share include successful discuss religious across media.,williamsonelizabeth@hotmail.com,Hopkins-Smith,Smithhaven,Open,,Unclear content,No,Uncategorized,No
112872,Other - Shaw Ltd - 14 Nov,South travel blood benefit chance court money spring environment however health image north.,gabriella10@sullivan.net,Brown-Smith,North Vincent,Open,,Unreadable content,Yes,Uncategorized,Yes
112873,"Uncategorized - Madden, Dickson and Jacobson - 23 Nov",Deep test thought little another avoid understand tonight nor allow.,alibrenda@hotmail.com,Hickman-Evans,New Mary,Closed,,Unreadable content,No,Uncategorized,No
112874,Other - Reyes-Singh - 17 Oct,May window approach join stuff future shoulder western.,anthony47@yahoo.com,Kelly Group,Lopezshire,Closed,,Unreadable content,Yes,Uncategorized,Yes
112875,Other - Marquez Inc - 27 Mar,Here six child hope guess before wall know seven.,christopherjordan@peters.com,"Davis, George and Nguyen",Smithchester,Open,,Unreadable content,Yes,Uncategorized,Yes
112876,Uncategorized - Armstrong and Sons - 20 Aug,College especially environmental certainly cold every feel site guess want result many.,trodriguez@rush.org,Brock-Rivera,Ryanberg,Closed,,Unclear content,Yes,Uncategorized,Yes
112877,Uncategorized - Edwards-Oconnell - 20 Sep,Same plan whose site for exactly skill half usually customer young.,bentonsteven@clark.com,Chambers-Taylor,Johnberg,Open,,Unreadable content,No,Uncategorized,No
112878,RFQ - Ewing-Mendoza - 11 Apr,Media turn reality myself so growth time Mr point be shoulder price great positive and.,tammy61@gmail.com,Green PLC,South Neil,Open,,Unclear content,Yes,RFQ,Yes
112879,"Other - Mason, Cooper and Johnson - 11 Feb",Indeed which break wait center find lay deal lot live just.,carlos01@gmail.com,Wong-Byrd,Lake John,Closed,New Ethan,,No,Uncategorized,No
112880,"Other - Simmons, Murray and Salinas - 08 Nov",Control price how scene third last involve above Democrat.,raylauren@hotmail.com,Diaz and Sons,Wilsonfort,Closed,,Unclear content,No,Uncategorized,No
112881,"PO - Wilson, Bell and Ellis - 28 Sep",Try opportunity public finish draw bring health center home others offer.,tommymedina@hotmail.com,Peters Group,Donaldmouth,Open,,,No,Uncategorized,No
112882,PO - Washington and Sons - 16 Feb,Measure manager range indeed style major bar air set factor ever Mrs collection leader score.,armstrongjoseph@hotmail.com,Weaver-Sherman,Paynechester,Closed,,Missing data,Yes,Uncategorized,Yes
112883,Other - Golden-Johnson - 20 Nov,Television beautiful tend bring speech decide scene ready technology particular into pattern.,lindahudson@campbell.com,Armstrong-Farley,East Sydneychester,Closed,,Unclear content,No,Uncategorized,No
112884,"Uncategorized - Cline, Wright and Dawson - 06 Nov",Majority officer environmental increase later plant they behavior middle everything view hard wear.,meltonmelanie@gmail.com,"Stanton, Reid and Terry",Port Amandaborough,Closed,,,Yes,Uncategorized,Yes
112885,Uncategorized - Morris-Campbell - 31 Mar,Candidate system small thus several animal phone student administration upon citizen lead yeah into yet.,erik41@ward.com,Sanders LLC,South Diana,Open,North Jasonland,Location in email body,No,Uncategorized,No
112886,RFQ - Wheeler PLC - 10 Apr,Act receive stage write institution car audience him room bill finish thing case.,caseyelliott@santos.com,Jensen-Ramos,North Peggy,Open,,Images in email body,Yes,RFQ,Yes
112887,"PO - Cruz, Richmond and Edwards - 08 Jul",Everybody base network outside parent single real summer probably feeling.,dphillips@simpson.com,Little-Jones,West Sarahberg,Open,Valenciashire,Images in email body,No,Uncategorized,No
112888,RFQ - Diaz-Vega - 26 Nov,West side admit attack energy always art smile media pick may indeed reduce bar.,christopher18@mccann.net,Myers-Walters,West Hollybury,Closed,,,Yes,RFQ,Yes
112889,Uncategorized - Chavez PLC - 29 Sep,Program price compare actually case activity market get military state else.,karamarks@hotmail.com,Wise Inc,Lindsayview,Closed,,Images in email body,Yes,Uncategorized,Yes
112890,"RFQ - Jones, Gibson and Ward - 31 Dec",Cold church significant thus purpose boy scientist able teach activity animal hair turn condition whether.,pwalker@moon-flores.com,"Watson, Shaw and Winters",East Linda,Open,,Images in email body,Yes,RFQ,Yes
112891,Uncategorized - Ayala-Collins - 18 Nov,Lead hard factor six science drug happy will young simply run national somebody character usually.,amberfields@wiley.biz,"Acosta, Garcia and Moreno",South Travis,Open,,Unreadable content,No,Uncategorized,No
112892,PO - Morse PLC - 09 Feb,Learn security oil measure PM hour option artist production candidate factor surface.,louis43@gmail.com,Taylor PLC,East Danielmouth,Closed,,Unclear content,No,Uncategorized,No
112893,"Uncategorized - Howard, Townsend and Hayes - 13 Jul",System bed space fight relate owner Democrat task chance represent why.,byrdjorge@gmail.com,Crane Group,North Steven,Open,,Unclear content,No,Uncategorized,No
112894,PO - Anderson Group - 02 May,Visit base only true avoid young cup position speak begin suggest speak business walk anything under.,ycrawford@hotmail.com,Thompson-Lewis,West Joshua,Closed,,,Yes,Uncategorized,Yes
112895,"Other - Sanchez, Phillips and Jenkins - 23 Jun",Article evidence case current this moment piece soon some writer site grow name machine.,bnelson@yahoo.com,"Robinson, Huang and Osborne",Port Victoriahaven,Closed,Katiebury,,No,Uncategorized,No
112896,PO - Garcia Ltd - 30 May,Move social say shake way offer work home very yard community.,linda59@warner.org,"Thomas, Vaughan and Copeland",Weaverburgh,Closed,,Location in email body,Yes,Uncategorized,Yes
112897,PO - Guzman Inc - 28 Oct,A truth cut candidate response try such food against only true similar suffer team.,janet69@rogers.com,Oconnor Group,Banksburgh,Open,,Unclear content,Yes,Uncategorized,Yes
112898,PO - Gray Ltd - 07 Nov,Camera rock we we hot yes whole allow own TV whose.,zunigadonald@miller.com,"Santiago, Daniel and Rogers",West Jasonland,Open,,Unclear content,No,Uncategorized,No
112899,"Uncategorized - Smith, Cruz and Oconnor - 27 Apr",Manage her national big look tell prepare reach class available suffer far five.,petersonpamela@dennis.com,Wheeler-Austin,Bushchester,Closed,New Pamela,Images in email body,No,RFQ,No
